IP,MACAddress,serialNumber,phoneDN,appLoadID,bootLoadID,versionID,modelNumber,time,date,UserLocale,TFTPServer1,CallManager1,CallManager2,CallManager3,UserLocaleVersion
10.0.1.104,E804621370DA,FCH14349U07,1243,jar11sccp.9-2-1TH1-13.sbn,tnp06.3-0-1-33.bin,SCCP11.9-2-1S,CP-7906G,16:32:23,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.39.94.10,,8.5.0.0(1)
10.0.1.104,E804621370DA,FCH14349U07,1243,jar11sccp.9-2-1TH1-13.sbn,tnp06.3-0-1-33.bin,SCCP11.9-2-1S,CP-7906G,16:32:23,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.39.94.10,,8.5.0.0(1)
10.0.1.56,001B5494347D,FCH111380EQ,1234,jar41sccp.9-2-1TH1-13.sbn,7941G_64-02070631Amd64megRel.bin,SCCP41.9-2-1S,CP-7941G,16:12:15,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.9.99.5,,8.5.0.0(1)
10.0.1.56,001B5494347D,FCH111380EQ,1234,jar41sccp.9-2-1TH1-13.sbn,7941G_64-02070631Amd64megRel.bin,SCCP41.9-2-1S,CP-7941G,16:12:15,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.9.99.5,,8.5.0.0(1)
10.0.1.104,E804621370DA,FCH14349U07,1243,jar11sccp.9-2-1TH1-13.sbn,tnp06.3-0-1-33.bin,SCCP11.9-2-1S,CP-7906G,16:32:24,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.39.94.10,,8.5.0.0(1)
10.0.1.104,E804621370DA,FCH14349U07,1243,jar11sccp.9-2-1TH1-13.sbn,tnp06.3-0-1-33.bin,SCCP11.9-2-1S,CP-7906G,16:32:24,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.39.94.10,,8.5.0.0(1)
10.0.1.56,001B5494347D,FCH111380EQ,1234,jar41sccp.9-2-1TH1-13.sbn,7941G_64-02070631Amd64megRel.bin,SCCP41.9-2-1S,CP-7941G,16:12:16,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.9.99.5,,8.5.0.0(1)
10.0.1.56,001B5494347D,FCH111380EQ,1234,jar41sccp.9-2-1TH1-13.sbn,7941G_64-02070631Amd64megRel.bin,SCCP41.9-2-1S,CP-7941G,16:12:16,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.9.99.5,,8.5.0.0(1)
10.0.1.104,E804621370DA,FCH14349U07,1243,jar11sccp.9-2-1TH1-13.sbn,tnp06.3-0-1-33.bin,SCCP11.9-2-1S,CP-7906G,16:32:24,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.39.94.10,,8.5.0.0(1)
10.0.1.104,E804621370DA,FCH14349U07,1243,jar11sccp.9-2-1TH1-13.sbn,tnp06.3-0-1-33.bin,SCCP11.9-2-1S,CP-7906G,16:32:24,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.39.94.10,,8.5.0.0(1)
10.0.1.104,E804621370DA,FCH14349U07,1243,jar11sccp.9-2-1TH1-13.sbn,tnp06.3-0-1-33.bin,SCCP11.9-2-1S,CP-7906G,16:32:24,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.39.94.10,,8.5.0.0(1)
10.0.1.104,E804621370DA,FCH14349U07,1243,jar11sccp.9-2-1TH1-13.sbn,tnp06.3-0-1-33.bin,SCCP11.9-2-1S,CP-7906G,16:32:25,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.39.94.10,,8.5.0.0(1)
10.0.1.104,E804621370DA,FCH14349U07,1243,jar11sccp.9-2-1TH1-13.sbn,tnp06.3-0-1-33.bin,SCCP11.9-2-1S,CP-7906G,16:32:24,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.39.94.10,,8.5.0.0(1)
10.0.1.104,E804621370DA,FCH14349U07,1243,jar11sccp.9-2-1TH1-13.sbn,tnp06.3-0-1-33.bin,SCCP11.9-2-1S,CP-7906G,16:32:25,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.39.94.10,,8.5.0.0(1)
10.0.1.104,E804621370DA,FCH14349U07,1243,jar11sccp.9-2-1TH1-13.sbn,tnp06.3-0-1-33.bin,SCCP11.9-2-1S,CP-7906G,16:32:26,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.39.94.10,,8.5.0.0(1)
10.0.1.104,E804621370DA,FCH14349U07,1243,jar11sccp.9-2-1TH1-13.sbn,tnp06.3-0-1-33.bin,SCCP11.9-2-1S,CP-7906G,16:32:26,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.39.94.10,,8.5.0.0(1)
10.0.1.104,E804621370DA,FCH14349U07,1243,jar11sccp.9-2-1TH1-13.sbn,tnp06.3-0-1-33.bin,SCCP11.9-2-1S,CP-7906G,16:32:26,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.39.94.10,,8.5.0.0(1)
10.0.1.56,001B5494347D,FCH111380EQ,1234,jar41sccp.9-2-1TH1-13.sbn,7941G_64-02070631Amd64megRel.bin,SCCP41.9-2-1S,CP-7941G,16:12:17,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.9.99.5,,8.5.0.0(1)
10.0.1.56,001B5494347D,FCH111380EQ,1234,jar41sccp.9-2-1TH1-13.sbn,7941G_64-02070631Amd64megRel.bin,SCCP41.9-2-1S,CP-7941G,16:12:17,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.9.99.5,,8.5.0.0(1)
10.0.1.104,E804621370DA,FCH14349U07,1243,jar11sccp.9-2-1TH1-13.sbn,tnp06.3-0-1-33.bin,SCCP11.9-2-1S,CP-7906G,16:32:26,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.39.94.10,,8.5.0.0(1)
10.0.1.104,E804621370DA,FCH14349U07,1243,jar11sccp.9-2-1TH1-13.sbn,tnp06.3-0-1-33.bin,SCCP11.9-2-1S,CP-7906G,16:32:26,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.39.94.10,,8.5.0.0(1)
10.0.1.56,001B5494347D,FCH111380EQ,1234,jar41sccp.9-2-1TH1-13.sbn,7941G_64-02070631Amd64megRel.bin,SCCP41.9-2-1S,CP-7941G,16:12:17,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.9.99.5,,8.5.0.0(1)
10.0.1.56,001B5494347D,FCH111380EQ,1234,jar41sccp.9-2-1TH1-13.sbn,7941G_64-02070631Amd64megRel.bin,SCCP41.9-2-1S,CP-7941G,16:12:18,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.9.99.5,,8.5.0.0(1)
10.0.1.56,001B5494347D,FCH111380EQ,1234,jar41sccp.9-2-1TH1-13.sbn,7941G_64-02070631Amd64megRel.bin,SCCP41.9-2-1S,CP-7941G,16:12:18,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.9.99.5,,8.5.0.0(1)
10.0.1.56,001B5494347D,FCH111380EQ,1234,jar41sccp.9-2-1TH1-13.sbn,7941G_64-02070631Amd64megRel.bin,SCCP41.9-2-1S,CP-7941G,16:12:18,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.9.99.5,,8.5.0.0(1)
10.0.1.104,E804621370DA,FCH14349U07,1243,jar11sccp.9-2-1TH1-13.sbn,tnp06.3-0-1-33.bin,SCCP11.9-2-1S,CP-7906G,16:32:26,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.39.94.10,,8.5.0.0(1)
10.0.1.104,E804621370DA,FCH14349U07,1243,jar11sccp.9-2-1TH1-13.sbn,tnp06.3-0-1-33.bin,SCCP11.9-2-1S,CP-7906G,16:32:27,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.39.94.10,,8.5.0.0(1)
10.0.1.56,001B5494347D,FCH111380EQ,1234,jar41sccp.9-2-1TH1-13.sbn,7941G_64-02070631Amd64megRel.bin,SCCP41.9-2-1S,CP-7941G,16:12:19,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.9.99.5,,8.5.0.0(1)
10.0.1.56,001B5494347D,FCH111380EQ,1234,jar41sccp.9-2-1TH1-13.sbn,7941G_64-02070631Amd64megRel.bin,SCCP41.9-2-1S,CP-7941G,16:12:19,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.9.99.5,,8.5.0.0(1)
10.0.1.56,001B5494347D,FCH111380EQ,1234,jar41sccp.9-2-1TH1-13.sbn,7941G_64-02070631Amd64megRel.bin,SCCP41.9-2-1S,CP-7941G,16:12:20,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.9.99.5,,8.5.0.0(1)
10.0.1.56,001B5494347D,FCH111380EQ,1234,jar41sccp.9-2-1TH1-13.sbn,7941G_64-02070631Amd64megRel.bin,SCCP41.9-2-1S,CP-7941G,16:12:20,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.9.99.5,,8.5.0.0(1)
10.0.1.56,001B5494347D,FCH111380EQ,1234,jar41sccp.9-2-1TH1-13.sbn,7941G_64-02070631Amd64megRel.bin,SCCP41.9-2-1S,CP-7941G,16:12:21,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.9.99.5,,8.5.0.0(1)
10.0.1.56,001B5494347D,FCH111380EQ,1234,jar41sccp.9-2-1TH1-13.sbn,7941G_64-02070631Amd64megRel.bin,SCCP41.9-2-1S,CP-7941G,16:12:21,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.9.99.5,,8.5.0.0(1)
10.0.1.56,001B5494347D,FCH111380EQ,1234,jar41sccp.9-2-1TH1-13.sbn,7941G_64-02070631Amd64megRel.bin,SCCP41.9-2-1S,CP-7941G,16:12:22,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.9.99.5,,8.5.0.0(1)
10.0.1.56,001B5494347D,FCH111380EQ,1234,jar41sccp.9-2-1TH1-13.sbn,7941G_64-02070631Amd64megRel.bin,SCCP41.9-2-1S,CP-7941G,16:12:22,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.9.99.5,,8.5.0.0(1)
10.0.1.56,001B5494347D,FCH111380EQ,1234,jar41sccp.9-2-1TH1-13.sbn,7941G_64-02070631Amd64megRel.bin,SCCP41.9-2-1S,CP-7941G,16:12:23,11/05/11,English_United_States,10.0.1.167,10.0.1.167,10.9.99.5,,8.5.0.0(1)
